Charge/Discharge [mAh],OCV [V]   ,OCV Predicted [V],Bestfit Entropy [J mol-1 K-1],Bestfit Entropy_Upper [J mol-1 K-1],Bestfit Entropy_Lower [J mol-1 K-1],Bestfit Method,Bestfit Enthalpy [J mol-1],Raw Entropy [J mol-1 K-1],Raw Entropy Error [J mol-1 K-1],M1 Entropy [J mol-1 K-1],M1 Entropy_Upper [J mol-1 K-1],M1 Entropy_Lower [J mol-1 K-1],M2 Entropy [J mol-1 K-1],M2 Entropy_Upper [J mol-1 K-1],M2 Entropy_Lower [J mol-1 K-1],M3 Entropy [J mol-1 K-1],M3 Entropy_Upper [J mol-1 K-1],M3 Entropy_Lower [J mol-1 K-1],M4 Entropy [J mol-1 K-1],M4 Entropy_Upper [J mol-1 K-1],M4 Entropy_Lower [J mol-1 K-1]
-0,0.0024809,0.0021943,0.077724,0.051655,0.051655,2,-216.19,0.068715,0.10164,0.094932,0.046286,0.046286,0.077724,0.051655,0.051655,0.077722,0.041565,0.041565,0.12361,0.043985,0.043985
0.051073,0.00054562,0.0005862,0.17346,0.023566,0.023566,4,-0.91821,-0.15483,0.7199,0.092664,0.0091496,0.0091496,0.20816,0.055789,0.055789,0.090134,0.041431,0.041431,0.17346,0.023566,0.023566
0.10215,0.00032424,0.00036898,0.1355,0.0040855,0.0040855,4,9.1154,-0.096318,0.54896,0.056267,0.016348,0.016348,0.15285,0.015046,0.015046,0.082854,0.03018,0.03018,0.1355,0.0040855,0.0040855
0.15322,0.00023289,0.035865,0.079564,0.023155,0.013403,3,1.2575,0.037553,0.24039,0.059208,0.049557,0.049557,0.085318,0.017107,0.017107,0.079564,0.013403,0.013403,0.085437,0.017282,0.017282
0.20429,0.00021571,0.00047975,0.0011816,0.0010032,0.0010032,3,-20.461,-0.023229,0.052766,-0.00030253,0.00064901,0.00064901,0.0077398,0.0037832,0.0037832,0.0011816,0.0010032,0.0010032,0.0049445,0.00093446,0.00093446
0.25536,0.00021256,0.0010303,0.0038789,0.0050376,0.0050376,3,-19.352,-0.024309,0.078905,0.005608,0.0014806,0.0014806,0.017207,0.0080662,0.0080662,0.0038789,0.0050376,0.0050376,0.013319,0.0039434,0.0039434
0.30644,0.00019496,0.0036251,0.0089011,0.0088702,0.0088702,3,-16.157,-0.025598,0.12391,0.0041284,0.0067942,0.0067942,0.025522,0.0037198,0.0037198,0.0089011,0.0088702,0.0088702,0.022369,0.0020833,0.0020833
0.35751,0.00017419,0.00017884,0.025578,0.0027272,0.0027272,2,-9.1829,-0.035488,0.14201,0.0013656,0.0076403,0.0076403,0.025578,0.0027272,0.0027272,0.0087626,0.0096537,0.0096537,0.02263,0.0012742,0.0012742
0.40858,0.00015909,0.00016152,0.017744,0.0020185,0.0020185,2,-10.062,-0.036672,0.12138,-0.0040182,0.0038058,0.0038058,0.017744,0.0020185,0.0020185,0.0097099,0.0066771,0.0066771,0.013697,0.0050822,0.0050822
0.45966,0.00015502,0.00016589,0.030872,0.0058003,0.0058003,2,-5.7531,-0.05702,0.22627,-0.0070335,0.0077707,0.0077707,0.030872,0.0058003,0.0058003,0.011013,0.016657,0.016657,0.027568,0.0071435,0.0071435
0.51073,0.00015687,0.00016339,0.02937,0.0035084,0.0035084,2,-6.3786,-0.070809,0.21816,-0.008499,0.0022121,0.0022121,0.02937,0.0035084,0.0035084,0.0078584,0.015858,0.015858,0.024158,0.0063661,0.0063661
0.5618,0.00015644,0.00016114,0.031295,0.001308,0.001308,2,-5.7633,-0.060116,0.20069,-0.0044006,0.00077478,0.00077478,0.031295,0.001308,0.001308,0.0096003,0.015074,0.015074,0.025309,0.0052356,0.0052356
0.61288,0.00015371,0.00015793,0.032402,0.0029629,0.0029629,2,-5.171,-0.046621,0.18628,-0.00026298,0.0043596,0.0043596,0.032402,0.0029629,0.0029629,0.0054016,0.017386,0.017386,0.026781,0.00041685,0.00041685
0.66395,0.00014915,0.016536,0.014236,0.012043,0.010907,3,-10.145,-0.027411,0.14809,0.014804,0.011475,0.011475,0.039311,0.014812,0.014812,0.014236,0.0091285,0.0091285,0.033652,0.010833,0.010833
0.71502,0.00014359,0.002041,0.020966,0.0032472,0.0032472,3,-7.6036,-0.0078118,0.087649,0.028432,0.0049489,0.0049489,0.037564,0.016623,0.016623,0.020966,0.0032472,0.0032472,0.032796,0.0098001,0.0098001
0.7661,0.00014027,0.00014045,0.028273,0.0031901,0.0031901,2,-5.1061,-0.01676,0.071421,0.022957,0.0095218,0.0095218,0.028273,0.0031901,0.0031901,0.016349,0.0084457,0.0084457,0.02391,0.0041984,0.0041984
0.81717,0.00013768,0.0022445,0.0039844,0.0072899,0.0072899,3,-12.096,-0.02787,0.090842,0.0059632,0.00034446,0.00034446,0.019823,0.0072496,0.0072496,0.0039844,0.0072899,0.0072899,0.01527,0.0027562,0.0027562
0.86824,0.00013179,0.00014129,-0.01237,0.0014833,0.0014833,1,-16.404,-0.038637,0.049625,-0.01237,0.0014833,0.0014833,-0.0069021,0.0054203,0.0054203,-0.015622,0.0029156,0.0029156,-0.0098702,0.0013751,0.0013751
0.91932,0.00013,0.00045011,-0.019061,0.0032549,0.0032549,3,-18.226,-0.038522,0.040644,-0.014661,0.0011151,0.0011151,-0.011396,0.0054609,0.0054609,-0.019061,0.0032549,0.0032549,-0.013744,0.0016351,0.0016351
0.97039,0.00012904,0.00043631,-0.019967,0.0029717,0.0029717,3,-18.404,-0.036317,0.037588,-0.015253,0.00046071,0.00046071,-0.012381,0.0057673,0.0057673,-0.019967,0.0029717,0.0029717,-0.014636,0.0021604,0.0021604
1.0215,0.00012826,0.00043541,-0.020467,0.0044878,0.0044878,3,-18.475,-0.036797,0.037804,-0.01564,0.0013368,0.0013368,-0.013432,0.0052169,0.0052169,-0.020467,0.0044878,0.0044878,-0.015412,0.0013733,0.0013733
1.0725,0.00012753,0.00044839,-0.020566,0.0040773,0.0040773,3,-18.438,-0.037691,0.036706,-0.015628,0.00091154,0.00091154,-0.013363,0.0054347,0.0054347,-0.020566,0.0040773,0.0040773,-0.015401,0.0017337,0.0017337
1.1236,0.00012674,0.00046581,-0.021064,0.0036095,0.0036095,3,-18.51,-0.037029,0.038355,-0.015623,0.0004394,0.0004394,-0.01308,0.0061525,0.0061525,-0.021064,0.0036095,0.0036095,-0.015371,0.0023424,0.0023424
1.1747,0.00012581,0.00049825,-0.020637,0.0049169,0.0049169,3,-18.292,-0.037479,0.039635,-0.015037,0.0011916,0.0011916,-0.013083,0.0058624,0.0058624,-0.020637,0.0049169,0.0049169,-0.015161,0.0017239,0.0017239
1.2258,0.00012456,0.00058743,-0.020344,0.0053703,0.0053703,3,-18.085,-0.037569,0.042754,-0.01369,0.0011683,0.0011683,-0.011624,0.0065714,0.0065714,-0.020344,0.0053703,0.0053703,-0.014023,0.0020694,0.0020694
1.2768,0.00012266,0.00085298,-0.020943,0.0071455,0.0071455,3,-18.078,-0.043595,0.056306,-0.011418,0.0016777,0.0016777,-0.0098015,0.0090399,0.0090399,-0.020943,0.0071455,0.0071455,-0.01275,0.0027563,0.0027563
1.3279,0.00011793,0.00012242,0.0020258,0.0023645,0.0023645,4,-10.774,-0.06976,0.11998,0.0032541,0.0070734,0.0070734,0.0087126,0.015574,0.015574,-0.011487,0.0060804,0.0060804,0.0020258,0.0023645,0.0023645
1.379,0.00010889,0.00016291,-0.0051372,0.019728,0.020179,2,-12.039,-0.09175,0.23131,-0.034549,0.009319,0.009319,-0.0051372,0.019728,0.019728,-0.005401,0.019769,0.019769,-0.0054908,0.019825,0.019825
1.43,9.0552e-05,0.00044055,0.00062912,0.0030215,0.0030215,3,-8.5493,-0.011428,0.03322,0.0013957,0.00028929,0.00028929,0.0064143,0.0028766,0.0028766,0.00062912,0.0030215,0.0030215,0.0048014,0.0012263,0.0012263
1.4811,8.8975e-05,9.2507e-05,-0.0010959,0.00029159,0.00029159,1,-8.9117,-0.0093014,0.018791,-0.0010959,0.00029159,0.00029159,0.00075601,0.0024048,0.0024048,-0.0029186,0.0019646,0.0019646,-0.0003225,0.00083424,0.00083424
1.5322,8.8706e-05,0.00019113,-0.0042831,0.0015557,0.0015557,3,-9.8363,-0.010126,0.015798,-0.0019658,0.00026472,0.00026472,-0.0010937,0.0025414,0.0025414,-0.0042831,0.0015557,0.0015557,-0.0019981,0.00091263,0.00091263
1.5833,8.8654e-05,0.00018571,-0.005216,0.0017781,0.0017781,3,-10.11,-0.011793,0.015218,-0.0023591,0.00051266,0.00051266,-0.0022346,0.0025601,0.0025601,-0.005216,0.0017781,0.0017781,-0.0030038,0.00075645,0.00075645
1.6343,8.8629e-05,0.00019092,-0.0062491,0.0019918,0.0019918,3,-10.415,-0.012142,0.016284,-0.002535,0.00061324,0.00061324,-0.00288,0.0030003,0.0030003,-0.0062491,0.0019918,0.0019918,-0.0036969,0.0008968,0.0008968
1.6854,8.8605e-05,0.00019667,-0.0066082,0.0022461,0.0022461,3,-10.52,-0.014209,0.01656,-0.0024275,0.00083179,0.00083179,-0.0035131,0.0030198,0.0030198,-0.0066082,0.0022461,0.0022461,-0.0041342,0.00071125,0.00071125
1.7365,8.8567e-05,0.00021152,-0.0075114,0.0025158,0.0025158,3,-10.785,-0.01682,0.018569,-0.0023077,0.001008,0.001008,-0.0040267,0.0035216,0.0035216,-0.0075114,0.0025158,0.0025158,-0.0046439,0.0008147,0.0008147
