Charge/Discharge [mAh],OCV [V]   ,OCV Predicted [V],Bestfit Entropy [J mol-1 K-1],Bestfit Entropy_Upper [J mol-1 K-1],Bestfit Entropy_Lower [J mol-1 K-1],Bestfit Method,Bestfit Enthalpy [J mol-1],Raw Entropy [J mol-1 K-1],Raw Entropy Error [J mol-1 K-1],M1 Entropy [J mol-1 K-1],M1 Entropy_Upper [J mol-1 K-1],M1 Entropy_Lower [J mol-1 K-1],M2 Entropy [J mol-1 K-1],M2 Entropy_Upper [J mol-1 K-1],M2 Entropy_Lower [J mol-1 K-1],M3 Entropy [J mol-1 K-1],M3 Entropy_Upper [J mol-1 K-1],M3 Entropy_Lower [J mol-1 K-1],M4 Entropy [J mol-1 K-1],M4 Entropy_Upper [J mol-1 K-1],M4 Entropy_Lower [J mol-1 K-1]
-0,0.0019129,-0.004577,0.80854,0.4476,0.4476,2,58.227,1.14,1.3241,1.1028,0.26035,0.26035,0.80854,0.4476,0.4476,0.80955,0.35804,0.35804,1.6447,0.28348,0.28348
0.051577,0.00067144,1.1595,0.011117,0.065431,0.065431,3,-61.445,-0.4051,1.012,0.060137,0.014893,0.014893,0.18994,0.10014,0.10014,0.011117,0.065431,0.065431,0.1339,0.031537,0.031537
0.10315,0.00047426,8.1426,-0.0040812,0.071591,0.071591,3,-46.984,-0.38104,0.91631,0.1043,0.022734,0.022734,0.1748,0.12457,0.12457,-0.0040812,0.071591,0.071591,0.123,0.038851,0.038851
0.15473,0.00045769,2.3179,-0.0050717,0.064949,0.064949,3,-45.683,-0.33566,0.79557,0.11297,0.029209,0.029209,0.1499,0.11613,0.11613,-0.0050717,0.064949,0.064949,0.10634,0.031323,0.031323
0.20631,0.00044316,0.00048131,0.10079,0.032969,0.040453,4,-12.499,-0.36704,0.82249,0.097051,0.036711,0.036711,0.14652,0.10717,0.10717,-0.0041571,0.056867,0.056867,0.10079,0.02325,0.02325
0.25789,0.00042191,0.00046608,0.090606,0.020157,0.020157,4,-13.508,-0.39625,0.86731,0.057092,0.033307,0.033307,0.14035,0.095038,0.095038,-0.010956,0.051251,0.051251,0.090606,0.020157,0.020157
0.30946,0.00039481,16.237,-0.024932,0.051178,0.051178,3,-45.577,-0.38314,0.8654,0.043302,0.017579,0.017579,0.13391,0.10226,0.10226,-0.024932,0.051178,0.051178,0.084339,0.032211,0.032211
0.36104,0.00036796,12.211,-0.016811,0.030454,0.030454,3,-40.548,-0.37595,0.84353,0.068118,0.014372,0.014372,0.13102,0.12219,0.12219,-0.016811,0.030454,0.030454,0.084424,0.042544,0.042544
0.41262,0.00034767,0.00035391,0.16411,0.071966,0.071966,2,15.705,-0.37435,0.82964,0.048799,0.024396,0.024396,0.16411,0.071966,0.071966,0.13798,0.056925,0.056925,0.11879,0.012922,0.012922
0.46419,0.00033221,0.00051306,-0.011269,0.043023,0.043023,1,-35.435,-0.38162,0.81721,-0.011269,0.043023,0.043023,0.14931,0.041781,0.041781,0.16103,0.04012,0.04012,0.12018,0.063075,0.063075
0.51577,0.00031969,1.9791e-06,0.054236,0.14725,0.15344,3,-14.571,-0.38776,0.81791,-0.09168,0.064927,0.064927,0.049533,0.14874,0.14874,0.054236,0.14725,0.14725,0.041866,0.15187,0.15187
0.56735,0.00030901,3.6437e-05,-0.034132,0.16769,0.17033,3,-40.057,-0.39216,0.83187,-0.16825,0.086412,0.086412,-0.036229,0.16824,0.16824,-0.034132,0.16769,0.16769,-0.042485,0.17029,0.17029
0.61892,0.00029985,52754,-0.1701,0.23292,0.23292,3,-79.987,-0.36906,0.8181,-0.19326,0.07656,0.07656,-0.058258,0.10802,0.10802,-0.1701,0.23292,0.23292,-0.075076,0.11539,0.11539
