,Charge/Discharge [mAh],OCV [V]   ,OCV Predicted [V],Bestfit Entropy [J mol-1 K-1],Bestfit Entropy_Upper [J mol-1 K-1],Bestfit Entropy_Lower [J mol-1 K-1],Bestfit Method,Bestfit Enthalpy [J mol-1],Raw Entropy [J mol-1 K-1],Raw Entropy Error [J mol-1 K-1],M1 Entropy [J mol-1 K-1],M1 Entropy_Upper [J mol-1 K-1],M1 Entropy_Lower [J mol-1 K-1],M2 Entropy [J mol-1 K-1],M2 Entropy_Upper [J mol-1 K-1],M2 Entropy_Lower [J mol-1 K-1],M3 Entropy [J mol-1 K-1],M3 Entropy_Upper [J mol-1 K-1],M3 Entropy_Lower [J mol-1 K-1],M4 Entropy [J mol-1 K-1],M4 Entropy_Upper [J mol-1 K-1],M4 Entropy_Lower [J mol-1 K-1],SOC,M1 Enthalpy [J mol-1],M2 Enthalpy [J mol-1],M3 Enthalpy [J mol-1],M4 Enthalpy [J mol-1],M3 Enthalpy_Lower,M3 Enthalpy_Upper
0,-0.0,0.00099241,0.00098541,-0.0014076,0.001568,0.001568,2,-96.175,0.028286,0.061865,0.011664,0.00059499,0.00059499,-0.0014076,0.001568,0.001568,0.00027093,0.0027576,0.0027576,0.039381,0.0011453,0.0011453,-0.0,-92.277137223289,-96.172474023289,-95.672272083289,-84.017471223289,0.8217648,0.8217648
1,0.028615,0.000468,0.00052836,0.058501,0.0073037,0.0019427,3,-27.631,0.053095,0.020235,0.060327,0.0018487,0.0018487,0.061181,0.0046232,0.0046232,0.058501,0.001365,0.001365,0.060353,0.0029962,0.0029962,0.016393583500429677,-27.177689797199996,-26.923197797199997,-27.721837797199996,-27.169941797199996,0.40676999999999996,0.40676999999999996
2,0.057229,0.00032126,0.00036823,0.052682,0.0054392,0.0014947,3,-15.215,0.048906,0.016476,0.053381,0.0017716,0.0017716,0.054654,0.003467,0.003467,0.052682,0.0014514,0.0014514,0.053975,0.0024762,0.0024762,0.032786594099112006,-15.089340047454002,-14.709986047453999,-15.297642047454001,-14.912328047454,0.4325172,0.4325172
3,0.085843,0.00023542,0.00028095,0.048909,0.0055016,0.0019936,3,-8.0643,0.043978,0.017303,0.049211,0.0019199,0.0019199,0.050738,0.0036724,0.0036724,0.048909,0.0019936,0.0019936,0.049999,0.0026438,0.0026438,0.04917960469779433,-8.049699071317997,-7.594653071317998,-8.139695071317997,-7.814875071317996,0.5940928,0.5940928
4,0.11446,0.0002118,0.00021199,0.013008,0.0045715,0.0033019,2,-16.54,0.0073401,0.013666,0.011031,0.0029099,0.0029099,0.013008,0.0032082,0.0032082,0.014,0.0035797,0.0035797,0.012579,0.0028726,0.0028726,0.0655743340017187,-17.14835550822,-16.559209508219997,-16.263593508219998,-16.687051508219998,1.0667506,1.0667506
5,0.14307,0.00021061,0.0002107,0.0096321,0.0039492,0.0027655,2,-17.435,0.0039149,0.011948,0.0080896,0.0019644,0.0019644,0.0096321,0.0027655,0.0027655,0.010431,0.00315,0.00315,0.0091236,0.0022543,0.0022543,0.08196505299341163,-17.910075162068996,-17.450410162068998,-17.212337962068997,-17.601943162068995,0.9387,0.9387
6,0.17168,0.00020904,0.00021098,0.0090102,0.0036523,0.0022139,1,-17.471,0.0035171,0.011553,0.0090102,0.0012693,0.0012693,0.0097294,0.0029331,0.0029331,0.0077813,0.00034737,0.00034737,0.0091624,0.0019654,0.0019654,0.09835577198510455,-17.484254389415998,-17.269932789415996,-17.850466589415998,-17.438898789415997,0.10351626,0.10351626
7,0.2003,0.00020407,0.00023458,0.0082687,0.00018553,0.00018553,3,-17.214,0.0048214,0.0083848,0.010356,0.00064677,0.00064677,0.0095148,0.0024434,0.0024434,0.0082687,0.00018553,0.00018553,0.009326,0.0013361,0.0013361,0.11475221999427099,-16.603673884902996,-16.854351484902995,-17.225689284902995,-16.910613884902997,0.05528794,0.05528794
8,0.22891,0.00019181,0.00021426,0.0069527,0.0018174,0.00046251,3,-16.425,0.0053028,0.0056355,0.0083433,0.00069517,0.00069517,0.007752,0.0018516,0.0018516,0.0069527,3.5406e-05,3.5406e-05,0.0076302,0.00114,0.00114,0.1311429389859639,-16.020548303549,-16.196755703548998,-16.434947103549,-16.233052103549,0.010550987999999999,0.010550987999999999
9,0.25753,0.00017673,0.000198,0.0058014,0.0003903,0.0003903,3,-15.313,0.0039879,0.0051411,0.0070307,0.0010391,0.0010391,0.006547,0.0021012,0.0021012,0.0058014,0.0003903,0.0003903,0.0064215,0.0014448,0.0014448,0.14753938699513033,-14.956704283416999,-15.100846883416999,-15.323035683416999,-15.138245883416998,0.1163094,0.1163094
