,Charge/Discharge [mAh],OCV [V]   ,OCV Predicted [V],Bestfit Entropy [J mol-1 K-1],Bestfit Entropy_Upper [J mol-1 K-1],Bestfit Entropy_Lower [J mol-1 K-1],Bestfit Method,Bestfit Enthalpy [J mol-1],Raw Entropy [J mol-1 K-1],Raw Entropy Error [J mol-1 K-1],M1 Entropy [J mol-1 K-1],M1 Entropy_Upper [J mol-1 K-1],M1 Entropy_Lower [J mol-1 K-1],M2 Entropy [J mol-1 K-1],M2 Entropy_Upper [J mol-1 K-1],M2 Entropy_Lower [J mol-1 K-1],M3 Entropy [J mol-1 K-1],M3 Entropy_Upper [J mol-1 K-1],M3 Entropy_Lower [J mol-1 K-1],M4 Entropy [J mol-1 K-1],M4 Entropy_Upper [J mol-1 K-1],M4 Entropy_Lower [J mol-1 K-1],SOC,M1 Enthalpy [J mol-1]
0,-0.0,0.0025091,0.0011955,0.38227,0.086485,0.086485,2,-127.33,0.41703,0.30821,0.44491,0.073147,0.073147,0.38227,0.086485,0.086485,0.38228,0.05299,0.05299,0.55807,0.06571,0.06571,-0.0,-109.50816877938996
1,0.063182,0.00066229,0.72586,0.025374,0.056621,0.056621,3,-56.282,-0.35295,0.96178,0.079065,0.013206,0.013206,0.19568,0.10477,0.10477,0.025374,0.056621,0.056621,0.14164,0.035045,0.035045,0.007352900102411321,-40.33990112634099
2,0.12636,0.00040499,0.00045125,0.12943,0.019545,0.019545,4,-0.20581,-0.3363,0.8493,0.081838,0.027385,0.027385,0.17775,0.086495,0.086495,0.04339,0.033209,0.033209,0.12943,0.019545,0.019545,0.014705334698817614,-14.687870971170994
3,0.18955,0.00039773,0.00045196,0.13847,0.0084429,0.0084429,4,3.2089,-0.42891,1.0074,0.086625,0.049887,0.049887,0.19626,0.091448,0.091448,0.05671,0.026872,0.026872,0.13847,0.0084429,0.0084429,0.02205916581323899,-12.560861454317003
4,0.25273,0.00037856,0.00040567,0.20241,0.033868,0.052968,2,24.261,-0.51777,1.1281,-0.008999,0.048286,0.048286,0.20241,0.033868,0.033868,0.192,0.042557,0.042557,0.15983,0.066003,0.066003,0.029411833162647796,-39.207189622624
5,0.31591,0.00034826,0.0047152,-0.15471,0.28937,0.28937,2,-80.038,-0.53263,1.2364,-0.29384,0.093158,0.093158,-0.15471,0.28937,0.28937,-0.20599,0.33073,0.33073,-0.1565,0.28363,0.28363,0.036764500512056604,-121.166302035754
6,0.37909,0.00031418,0.0037264,-0.092248,0.050999,0.050999,2,-57.993,-0.26818,1.0502,-0.19753,0.1524,0.1524,-0.092248,0.050999,0.050999,-0.12312,0.021675,0.021675,-0.093517,0.0074101,0.0074101,0.04411716786146541,-89.177701890522
7,0.44227,0.00027975,1077.2,0.18715,0.11068,0.11068,3,29.15,0.10389,0.71666,0.14732,0.22303,0.22303,0.22569,0.14146,0.14146,0.18715,0.11068,0.11068,0.22568,0.14268,0.14268,0.05146983521087422,16.909588121225006
8,0.50545,0.00024424,0.17552,0.1194,0.010395,0.010395,3,12.25,0.065274,0.29559,0.16391,0.055149,0.055149,0.16632,0.10361,0.10361,0.1194,0.010395,0.010395,0.15394,0.075146,0.075146,0.05882250256028302,25.279602292504
9,0.56864,0.00022862,0.00022844,0.080809,0.061244,0.061244,2,2.1824,-0.035121,0.15516,0.12478,0.012615,0.012615,0.080809,0.061244,0.061244,0.069773,0.044754,0.044754,0.084473,0.031074,0.031074,0.06617633367470441,15.125963192402004
10,0.63182,0.00022393,0.00022435,0.047025,0.066007,0.063251,2,-7.4904,-0.13231,0.20311,0.048403,0.064629,0.064629,0.047025,0.015312,0.015312,0.025935,0.036818,0.036818,0.03644,0.044482,0.044482,0.07352900102411321,-7.181866596296999
11,0.695,0.00022168,0.00023402,-0.026153,0.084468,0.084468,4,-29.239,-0.2036,0.27234,-0.020476,0.10668,0.10668,-0.011465,0.053003,0.053003,-0.044721,0.085979,0.085979,-0.026153,0.084468,0.084468,0.08088166837352201,-27.490716597271998
12,0.75818,0.00022047,0.00023618,-0.035151,0.042962,0.042962,4,-31.821,-0.22878,0.31199,-0.040729,0.065423,0.065423,-0.01786,0.011086,0.011086,-0.01932,0.012227,0.012227,-0.035151,0.042962,0.042962,0.08823433572293082,-33.409363344463
13,0.82136,0.00021971,1.7763e-05,0.008926,0.032746,0.032746,3,-18.519,-0.23315,0.34551,-0.050413,0.020677,0.020677,-0.0051461,0.024223,0.024223,0.008926,0.032746,0.032746,-0.025241,0.0027152,0.0027152,0.09558700307233962,-36.221866491459
14,0.88454,0.00021912,2.0337e-06,0.030746,0.044656,0.044656,3,-11.909,-0.23122,0.36895,-0.047369,0.00054862,0.00054862,0.011267,0.034372,0.034372,0.030746,0.044656,0.044656,-0.0083836,0.012648,0.012648,0.10293967042174844,-35.257828145047995
15,0.94773,0.0002186,6.4063e-07,0.051645,0.042119,0.042119,3,-5.583,-0.21166,0.3891,-0.035161,0.0079989,0.0079989,0.031609,0.032755,0.032755,0.051645,0.042119,0.042119,0.012539,0.014675,0.014675,0.1102935015361698,-31.569671771939998
16,1.0109,0.00021808,2.4031e-06,0.064591,0.03573,0.03573,3,-1.6469,-0.18464,0.40035,-0.020699,0.0093885,0.0093885,0.049662,0.028974,0.028974,0.064591,0.03573,0.03573,0.031326,0.012873,0.012873,0.11764500512056604,-27.209823398832
17,1.0741,0.00021752,6.9016e-05,0.067854,0.028461,0.030728,3,-0.61245,-0.16798,0.40262,-0.0074081,0.0093802,0.0093802,0.063575,0.026449,0.026449,0.067854,0.028461,0.028461,0.04588,0.01143,0.01143,0.125,-23.195103412408
18,1.1373,0.00021685,0.00022372,0.073584,0.025437,0.025437,2,1.1721,-0.15488,0.39866,0.0036332,0.0090273,0.0090273,0.073584,0.025437,0.025437,0.063861,0.020539,0.020539,0.056373,0.010914,0.010914,0.13235499487943395,-19.840150839365002
19,1.2005,0.00021604,0.0002226,0.079843,0.02397,0.02397,2,3.1229,-0.14789,0.38809,0.012211,0.0081246,0.0081246,0.079843,0.02397,0.02397,0.056857,0.011571,0.011571,0.062949,0.0099196,0.0099196,0.13970998975886786,-17.205813319716
20,1.2636,0.00021514,0.00022127,0.083958,0.023732,0.023732,2,4.4383,-0.12977,0.37844,0.018096,0.0073921,0.0073921,0.083958,0.023732,0.023732,0.051411,0.0050758,0.0050758,0.067062,0.0096566,0.0096566,0.14705334698817615,-15.365246520105998
