,Charge/Discharge [mAh],OCV [V]   ,OCV Predicted [V],Bestfit Entropy [J mol-1 K-1],Bestfit Entropy_Upper [J mol-1 K-1],Bestfit Entropy_Lower [J mol-1 K-1],Bestfit Method,Bestfit Enthalpy [J mol-1],Raw Entropy [J mol-1 K-1],Raw Entropy Error [J mol-1 K-1],M1 Entropy [J mol-1 K-1],M1 Entropy_Upper [J mol-1 K-1],M1 Entropy_Lower [J mol-1 K-1],M2 Entropy [J mol-1 K-1],M2 Entropy_Upper [J mol-1 K-1],M2 Entropy_Lower [J mol-1 K-1],M3 Entropy [J mol-1 K-1],M3 Entropy_Upper [J mol-1 K-1],M3 Entropy_Lower [J mol-1 K-1],M4 Entropy [J mol-1 K-1],M4 Entropy_Upper [J mol-1 K-1],M4 Entropy_Lower [J mol-1 K-1],SOC,M1 Enthalpy [J mol-1],M2 Enthalpy [J mol-1],M3 Enthalpy [J mol-1],M4 Enthalpy [J mol-1],M3 Enthalpy_Lower,M3 Enthalpy_Upper,G
0,-0.0,1.8944e-05,31112000.0,-3.7128e-05,0.00016746,0.00016746,3,-1.8398,-0.019703000000000002,0.084847,-0.015957,0.008235899999999999,0.008235899999999999,0.0018218,0.0012651,0.0012651,-3.7128e-05,0.00016746,0.00016746,0.0018189,0.0011474,0.0011474,0.0,-6.9340581464576,-1.2448421464576,-1.8396991064576,-1.2457701464576,0.04990308,0.04990308,0.0
1,-0.14182,6.165100000000001e-05,0.00010317,-0.015463,0.01094,0.01094,2,-10.898,-0.015285,0.0096869,-0.01647,0.0026613,0.0026613,-0.015463,0.01094,0.01094,-0.015471,0.0015302999999999998,0.0015302999999999998,-0.015461,0.0015425,0.0015425,0.015151547526201644,-11.2188172586179,-10.8965772586179,-10.899137258617902,-10.8959372586179,0.4560294,0.4560294,0.005714991450000001
2,-0.28364,7.8684e-05,6.6769e-05,-0.010981999999999999,0.00072417,0.00072417,3,-11.11,-0.010111,0.0022529,-0.012359,0.00034026,0.00034026,-0.011065,0.00024956,0.00024956,-0.010981999999999999,0.00072417,0.00072417,-0.010892,0.00021285,0.00021285,0.03030309505240329,-11.5467319339036,-11.132651933903599,-11.106091933903599,-11.077291933903599,0.21580266,0.21580266,0.0156661463
3,-0.42546000000000006,8.4924e-05,7.045100000000001e-05,-0.006818300000000001,0.00077498,0.00077498,3,-10.378,-0.0054604,0.0029643,-0.0084041,0.00047415,0.00047415,-0.0071569,0.00037555,0.00037555,-0.006818300000000001,0.00077498,0.00077498,-0.0064207,0.00033451,0.00033451,0.04545464257860494,-10.883232411199598,-10.484128411199599,-10.375776411199599,-10.2485444111996,0.23094404,0.23094404,0.02726758958
4,-0.56728,8.720700000000001e-05,6.9668e-05,-0.004398,0.00099286,0.00099286,3,-9.8228,-0.0028141,0.0037469,-0.005841600000000001,0.0007009,0.0007009,-0.0049742,0.00030734,0.00030734,-0.004398,0.00099286,0.00099286,-0.0035318000000000003,0.00054558,0.00054558,0.06060619010480658,-10.2835084262103,-10.0059404262103,-9.8215564262103,-9.5443724262103,0.29587228,0.29587228,0.039473398789999996
5,-0.7091,8.8295e-05,6.9211e-05,-0.0039024999999999997,0.00084388,0.00084388,3,-9.769,-0.0020584,0.0039483,-0.0052417,0.00051628,0.00051628,-0.0045708,0.00052247,0.00052247,-0.0039024999999999997,0.00084388,0.00084388,-0.0028035,0.0003815,0.0003815,0.07575773763100822,-10.196516468405498,-9.9818284684055,-9.767972468405498,-9.416292468405498,0.25147624,0.25147624,0.05191824560999999
6,-0.85091,8.891799999999999e-05,6.9093e-05,-0.0034645,0.0010960000000000002,0.0010960000000000002,3,-9.6889,-0.0016179000000000002,0.004229999999999999,-0.0047761,0.00079624,0.00079624,-0.0042099,0.00028123,0.00028123,-0.0034645,0.0010960000000000002,0.0010960000000000002,-0.0022316,0.00062926,0.00062926,0.09090821679255565,-10.107634830802198,-9.926450830802198,-9.687922830802197,-9.293394830802198,0.32660800000000006,0.32660800000000006,0.064483533375
7,-0.9927299999999999,8.935e-05,6.887399999999999e-05,-0.0030905999999999998,0.001053,0.001053,3,-9.6107,-0.0012442,0.004455399999999999,-0.0043965,0.00074126,0.00074126,-0.0038652,0.00035350000000000003,0.00035350000000000003,-0.0030905999999999998,0.001053,0.001053,-0.0017929999999999999,0.00057289,0.00057289,0.10605976431875727,-10.027844494615,-9.857828494615001,-9.609956494615,-9.194724494615,0.31379399999999996,0.31379399999999996,0.07712451725499998
8,-1.1346,8.9702e-05,6.8494e-05,-0.0028573,0.0010027999999999999,0.0010027999999999999,3,-9.5699,-0.00080526,0.0044086,-0.0041689,0.00065793,0.00065793,-0.0036610999999999996,0.00045848,0.00045848,-0.0028573,0.0010027999999999999,0.0010027999999999999,-0.0014892999999999998,0.00049989,0.00049989,0.12121665366823006,-9.9889753317958,-9.8264793317958,-9.569263331795801,-9.1315033317958,0.29883439999999994,0.29883439999999994,0.089825570875
9,-1.2764,8.992700000000001e-05,6.684699999999999e-05,-0.0026571,0.00087334,0.00087334,3,-9.5276,-0.00069158,0.0048497,-0.0039835,0.00046798,0.00046798,-0.0035626,0.00071666,0.00071666,-0.0026571,0.00087334,0.00087334,-0.0010804999999999999,0.00030463,0.00030463,0.13636606446512325,-9.9513565316983,-9.8166685316983,-9.5269085316983,-9.0223965316983,0.26025532,0.26025532,0.102561266975
