,Charge/Discharge [mAh],OCV [V]   ,OCV Predicted [V],Bestfit Entropy [J mol-1 K-1],Bestfit Entropy_Upper [J mol-1 K-1],Bestfit Entropy_Lower [J mol-1 K-1],Bestfit Method,Bestfit Enthalpy [J mol-1],Raw Entropy [J mol-1 K-1],Raw Entropy Error [J mol-1 K-1],M1 Entropy [J mol-1 K-1],M1 Entropy_Upper [J mol-1 K-1],M1 Entropy_Lower [J mol-1 K-1],M2 Entropy [J mol-1 K-1],M2 Entropy_Upper [J mol-1 K-1],M2 Entropy_Lower [J mol-1 K-1],M3 Entropy [J mol-1 K-1],M3 Entropy_Upper [J mol-1 K-1],M3 Entropy_Lower [J mol-1 K-1],M4 Entropy [J mol-1 K-1],M4 Entropy_Upper [J mol-1 K-1],M4 Entropy_Lower [J mol-1 K-1],SOC,M1 Enthalpy [J mol-1],M2 Enthalpy [J mol-1],M3 Enthalpy [J mol-1],M4 Enthalpy [J mol-1],M3 Enthalpy_Lower,M3 Enthalpy_Upper,G
0,-0.0,0.0034042,0.0034254,-0.05191799999999999,0.0020245000000000003,0.0020245000000000003,4,-344.0,-0.25248000000000004,0.39671,0.11135999999999999,0.014894,0.014894,-0.076313,0.044985000000000004,0.044985000000000004,-0.078943,0.05391,0.05391,-0.05191799999999999,0.0020245000000000003,0.0020245000000000003,0.0,-295.27009025818,-351.19664425817996,-351.98038425818,-343.92693425818,16.06518,16.06518,0.0
1,-0.1459,0.0034683,0.0032645000000000005,-0.0050785,0.008968700000000001,0.008968700000000001,3,-336.16,0.027783999999999996,0.058008000000000004,-0.031708999999999994,0.010508,0.010508,-0.012551,0.006512100000000001,0.006512100000000001,-0.0050785,0.008968700000000001,0.008968700000000001,0.0079662,0.0084595,0.0084595,0.01818227135077203,-344.08936209706997,-338.38027809707,-336.15347309707,-332.26615249707,2.6726726000000003,2.6726726000000003,0.501348875
2,-0.29179,0.0034994,0.0032114000000000005,-0.0008902999999999999,0.0072848,0.0072848,3,-337.91,0.030916000000000003,0.06673899999999999,-0.014643000000000002,0.0048477,0.0048477,-0.012894,0.009809700000000001,0.009809700000000001,-0.0008902999999999999,0.0072848,0.0072848,0.023722999999999998,0.0031311,0.0031311,0.03636329648692098,-342.00438795025997,-341.48318595026,-337.90608335025996,-330.57131995026,2.1708704,2.1708704,1.0096077515
3,-0.43768999999999997,0.0035161999999999997,0.0032543,0.00086958,0.0054914,0.0054914,3,-339.0,0.036832,0.053328,-0.0095212,0.0019649,0.0019649,-0.0077599999999999995,0.0092348,0.0092348,0.00086958,0.0054914,0.0054914,0.020418000000000002,0.0028643,0.0028643,0.054545567837693,-342.09904514297995,-341.57420754297993,-339.00259270297994,-333.17716354297994,1.6364371999999998,1.6364371999999998,1.5213957715
4,-0.5835899999999999,0.0035266,0.003281,0.0025135,0.0059770000000000005,0.0059770000000000005,3,-339.51,0.025182,0.055644000000000006,-0.0087735,0.0029638999999999998,0.0029638999999999998,-0.00775,0.0090491,0.0090491,0.0025135,0.0059770000000000005,0.0059770000000000005,0.023111000000000003,0.0017230999999999998,0.0017230999999999998,0.07272783918846502,-342.87967800513997,-342.57467500513997,-339.51615200513993,-333.37809700514,1.7811460000000001,1.7811460000000001,2.0351680314999996
5,-0.72948,0.0035348,0.0032914999999999997,0.0050016999999999995,0.005194399999999999,0.005194399999999999,3,-339.56,0.028716000000000002,0.054828999999999996,-0.0051847,0.0026619,0.0026619,-0.0051288,0.0087661,0.0087661,0.0050016999999999995,0.005194399999999999,0.005194399999999999,0.025872000000000003,0.0012921,0.0012921,0.09090886432461398,-342.60139533491997,-342.58473713492,-339.56584813492,-333.34649873492,1.5479311999999998,1.5479311999999998,2.5502618545
6,-0.8753799999999999,0.0035426999999999998,0.0032786,0.0070142,0.0051594,0.0051594,3,-339.72,0.033097,0.060157,-0.0018472999999999999,0.002421,0.002421,-0.0040336,0.0089351,0.0089351,0.0070142,0.0051594,0.0051594,0.031452999999999995,0.0012502000000000001,0.0012502000000000001,0.109091135675386,-342.36908426482995,-343.02060166482994,-339.72835726483,-332.44559486482996,1.5375012,1.5375012,3.0665654794999995
7,-1.0213,0.0035518999999999998,0.0035365,0.0010611,0.0015378,0.0015378,1,-342.39,0.034898,0.06830599999999999,0.0010611,0.0015378,0.0015378,-0.0048448,0.0090239,0.0090239,0.007406,0.0048446999999999995,0.0048446999999999995,0.037469999999999996,0.00063029,0.00063029,0.1272758994554042,-342.39004612751,-344.15000432751,-340.49926592750995,-331.54019392750996,1.4437205999999998,1.4437205999999998,3.5841874955
8,-1.1672,0.0035638000000000006,0.0032255,0.0056667,0.0042974,0.0042974,3,-342.16,0.034460000000000005,0.074943,0.0022286,0.00041794,0.00041794,-0.00748,0.008810799999999999,0.008810799999999999,0.0056667,0.0042974,0.0042974,0.040525,0.001385,0.001385,0.14545817080617623,-343.19030658902005,-346.08346938902,-342.16575278902,-331.77797938902,1.2806252,1.2806252,4.1032778105
9,-1.3131,0.0035784,0.0032191000000000003,0.0018047,0.0039941,0.0039941,3,-344.72,0.029845999999999998,0.076784,0.00071559,0.0021599,0.0021599,-0.011053,0.0078021,0.0078021,0.0018047,0.0039941,0.0039941,0.038405,0.0029678,0.0029678,0.16364044215694826,-345.04986942935994,-348.55690924935993,-344.7253146493599,-333.81842524935996,1.1902418000000001,1.1902418000000001,4.6243013005
10,-1.459,0.003594,0.0032375,-0.0025440000000000003,0.003786,0.0036225000000000003,3,-347.53,0.017192,0.07482899999999999,-0.0024622,0.0037042999999999998,0.0037042999999999998,-0.015007,0.0071895,0.0071895,-0.0025440000000000003,0.0035411,0.0035411,0.03415,0.0048369,0.0048369,0.1818227135077203,-347.50202204259995,-351.24037244259995,-347.52639844259994,-336.5915864426,1.0552478,1.0552478,5.1475278805
11,-1.6049,0.0036088,0.0032806999999999997,-0.006113,0.0038064,0.0034912,3,-350.02,0.014165,0.067628,-0.0057469999999999995,0.0034405,0.0034405,-0.017096,0.0059488,0.0059488,-0.006113,0.0034912,0.0034912,0.026643,0.004382100000000001,0.004382100000000001,0.20000498485849233,-349.90887536952,-353.29087736952,-350.01794336951997,-340.25665536952,1.0403776,1.0403776,5.6729721405
12,-1.7508,0.003622,0.0033290999999999998,-0.0067631,0.0033848,0.0033848,3,-351.5,0.011358,0.059327,-0.006477199999999999,0.0028361999999999997,0.0028361999999999997,-0.016387,0.005086600000000001,0.005086600000000001,-0.0067631,0.0033848,0.0033848,0.021845,0.0034851999999999995,0.0034851999999999995,0.21818725620926435,-351.4000813638,-354.3532017638,-351.48527956379996,-342.96006576379995,1.0086704,1.0086704,6.2004590004999995
13,-1.8967,0.0036340000000000005,0.0033628,-0.0045057,0.0033897,0.0033897,3,-351.98,0.012968,0.052989999999999995,-0.0043917999999999995,0.0023342,0.0023342,-0.013178,0.0043549999999999995,0.0043549999999999995,-0.0045057,0.0033897,0.0033897,0.020756999999999998,0.0029787,0.0029787,0.2363695275600364,-351.93645615860004,-354.55474375860007,-351.97039835860005,-344.44211375860004,1.0101305999999999,1.0101305999999999,6.7297842005
14,-2.0426,0.0036452,0.0033918,-0.00049331,0.003435,0.003435,3,-351.86,0.027173000000000003,0.047437,-0.00013678,0.0013747,0.0013747,-0.007675199999999999,0.0036466999999999997,0.0036466999999999997,-0.00049331,0.003435,0.003435,0.021868000000000002,0.00075263,0.00075263,0.2545517989108084,-351.74909592707996,-353.99554508707996,-351.85534186707997,-345.19167148708,1.02363,1.02363,7.260801840500001
15,-2.1884,0.0036558999999999997,0.0034063,0.0029541999999999997,0.0032641,0.0032641,3,-351.86,0.01091,0.047692,0.0030607,0.0020875,0.0020875,-0.005297,0.0037729,0.0037729,0.0029541999999999997,0.0032641,0.0032641,0.026789,0.0031023,0.0031023,0.2727216081153496,-351.82863994910997,-354.31923454911,-351.86037694911,-344.75760654911,0.9727018,0.9727018,7.793052030500001
16,-2.3343,0.0036663000000000004,0.0034149000000000002,0.0042710000000000005,0.0030686999999999997,0.0030686999999999997,3,-352.47,0.021572,0.050270999999999996,0.004600899999999999,0.0021674,0.0021674,-0.0037670000000000004,0.003987,0.003987,0.0042710000000000005,0.0030686999999999997,0.0030686999999999997,0.028421,0.0026585000000000003,0.0026585000000000003,0.2909038794661216,-352.37310781127,-354.86674201127005,-352.47141801127003,-345.27471801127007,0.9144726,0.9144726,8.3272065205
17,-2.4802,0.0036769,0.0034161,0.0034565,0.0029706,0.0029706,3,-353.73,0.021787,0.051900999999999996,0.0040951,0.0024351999999999998,0.0024351999999999998,-0.004607,0.0039496999999999996,0.0039496999999999996,0.0034565,0.0029706,0.0029706,0.028491000000000002,0.0028958,0.0028958,0.30908615081689367,-353.54658074001,-356.13980654000994,-353.73688354000996,-346.27660254000995,0.8852388,0.8852388,8.862892960500002
18,-2.6261,0.0036876999999999995,0.0034189,0.001504,0.0029148000000000004,0.0029148000000000004,3,-355.36,0.019524,0.053282,0.0024364,0.0026447,0.0026447,-0.0065993,0.0038921999999999997,0.0038921999999999997,0.001504,0.0029148000000000004,0.0029148000000000004,0.027476999999999998,0.0030730999999999996,0.0030730999999999996,0.3272684221676657,-355.08291493532994,-357.77555353532995,-355.3607701353299,-347.6208161353299,0.8686104000000001,0.8686104000000001,9.400140530500002
19,-2.772,0.0036986999999999996,0.0034251999999999993,-0.00042822,0.0029478,0.0029478,3,-357.0,0.017733000000000002,0.054283000000000005,0.00064,0.0027433,0.0027433,-0.0086243,0.0036902999999999997,0.0036902999999999997,-0.00042822,0.0029478,0.0029478,0.026095,0.0034353,0.0034353,0.3454506935184377,-356.67958079722996,-359.44034219722994,-356.99791035722996,-349.09399079722994,0.8784444,0.8784444,9.9389784105
20,-2.9179,0.0037098,0.0034345999999999995,-0.0015614000000000001,0.0028002,0.0028002,3,-358.41,0.01595,0.05556900000000001,-0.00034368,0.0030434999999999998,0.0030434999999999998,-0.0098636,0.0038529000000000002,0.0038529000000000002,-0.0015614000000000001,0.0028002,0.0028002,0.025699,0.0037446999999999997,0.0037446999999999997,0.36363296486920976,-358.04370463242,-360.88064079241997,-358.40658519242,-350.28298599242,0.8344596000000001,0.8344596000000001,10.479428485500001
21,-3.0638,0.0037208,0.0034457999999999997,-0.0020903000000000002,0.0027976,0.0027976,3,-359.63,0.015934,0.055321,-0.00080661,0.0029750999999999996,0.0029750999999999996,-0.010265999999999999,0.0036899999999999997,0.0036899999999999997,-0.0020903000000000002,0.0027976,0.0027976,0.025013999999999998,0.0036859,0.0036859,0.3818152362199818,-359.24299643431993,-362.06189465431993,-359.62553605432,-351.5484546543199,0.8336848,0.8336848,11.021490755500002
22,-3.2097,0.0037319000000000002,0.0034546,-0.0022129000000000003,0.0030876,0.0030876,3,-360.73,0.015437000000000001,0.055121,-0.00086625,0.002781,0.002781,-0.010297,0.0034211,0.0034211,-0.0022129000000000003,0.0030876,0.0030876,0.024809,0.0033299,0.0033299,0.39999750757075386,-360.33175634951004,-363.14211984951004,-360.73305804951,-352.68053184951003,0.9201048,0.9201048,11.565165220500003
23,-3.3556,0.0037429000000000004,0.0034628999999999997,-0.0017917999999999999,0.0029673,0.0029673,3,-361.67,0.016236,0.055836000000000004,-0.00041416,0.0030156,0.0030156,-0.009992299999999999,0.0035919000000000003,0.0035919000000000003,-0.0017917999999999999,0.0029673,0.0029673,0.025626999999999997,0.0036361999999999996,0.0036361999999999996,0.41817977892152586,-361.25837219141,-364.11265791141,-361.66890891141,-353.49810651141,0.8842554,0.8842554,12.110451880500001
24,-3.5015,0.0037541,0.0034673,-0.0011420999999999998,0.0030911,0.0030911,3,-362.56,0.016638,0.057061,0.00029593,0.0030908000000000003,0.0030908000000000003,-0.009507600000000001,0.0035499000000000004,0.0035499000000000004,-0.0011420999999999998,0.0030911,0.0030911,0.026883999999999998,0.0037963000000000003,0.0037963000000000003,0.4363620502722979,-362.12740109988994,-365.04885303988993,-362.55593403988996,-354.2041562398899,0.9211478,0.9211478,12.657358030500001
25,-3.6474,0.0037656,0.0034687,-2.603e-05,0.0031892,0.0031892,3,-363.33,0.016611,0.060351999999999996,0.0017704,0.0032786,0.0032786,-0.0087339,0.0037543,0.0037543,-2.603e-05,0.0031892,0.0031892,0.030201,0.0036850000000000003,0.0036850000000000003,0.45454432162306996,-362.79759036824,-365.92787176824,-363.33292650823995,-354.32527156824,0.9503816,0.9503816,13.205920145500002
26,-3.7933,0.0037774,0.0034659,0.00095062,0.0033133000000000004,0.0033133000000000004,3,-364.18,0.020482,0.062802,0.0029525,0.0033095,0.0033095,-0.0079,0.0036845,0.0036845,0.00095062,0.0033133000000000004,0.0033133000000000004,0.032253,0.0036590000000000004,0.0036590000000000004,0.47272659297384195,-363.58385149646,-366.81789649646,-364.18041173646,-354.85230249645997,0.9873634000000001,0.9873634000000001,13.7561819955
27,-3.9392,0.00379,0.0034582999999999997,0.0020062,0.0033558999999999998,0.0033558999999999998,3,-365.08,0.022607,0.06751499999999999,0.004392,0.0037099000000000004,0.0037099000000000004,-0.0073268000000000005,0.0038044000000000003,0.0038044000000000003,0.0020062,0.0033558999999999998,0.0033558999999999998,0.035898,0.0041881,0.0041881,0.490908864324614,-364.370595691,-367.862798091,-365.08156409099996,-354.981807691,1.0000582,1.0000582,14.3082238255
28,-4.0851,0.0038033,0.0034494,0.0027368,0.0031958999999999998,0.0031958999999999998,3,-366.14,0.025528,0.072713,0.005631000000000001,0.0041775,0.0041775,-0.006961,0.0040628,0.0040628,0.0027368,0.0031958999999999998,0.0031958999999999998,0.039381,0.0045962,0.0045962,0.509091135675386,-365.28462861856997,-369.03704461857,-366.14710021856996,-355.22712861856996,0.9523782,0.9523782,14.8621550605
29,-4.231,0.0038176,0.0034364000000000005,0.0029665,0.0033878,0.0033878,3,-367.45,0.027139,0.078399,0.0062293999999999995,0.004696100000000001,0.004696100000000001,-0.007375700000000001,0.0041692,0.0041692,0.0029665,0.0033878,0.0033878,0.042584,0.0053603999999999995,0.0053603999999999995,0.527273407026158,-366.48604567904,-370.54036547903996,-367.45838987904,-355.65237487904,1.0095644,1.0095644,15.4180997155
30,-4.3769,0.0038328000000000004,0.0034286,0.0032896,0.003561,0.003561,3,-368.82,0.029891,0.082901,0.007031399999999999,0.004973399999999999,0.004973399999999999,-0.007312899999999999,0.004088800000000001,0.004088800000000001,0.0032896,0.003561,0.003561,0.045255000000000004,0.0055397,0.0055397,0.5454556783769301,-367.71362673912,-371.98822813912005,-368.82868313912,-356.32299393912,1.061178,1.061178,15.9761963955
31,-4.5228,0.0038486999999999996,0.0034262,0.0030248000000000002,0.0037777,0.0037777,3,-370.43,0.030086,0.086097,0.006915600000000001,0.0054438,0.0054438,-0.0079544,0.0041204,0.0041204,0.0030248000000000002,0.0037777,0.0037777,0.04648,0.0061722999999999995,0.0061722999999999995,0.5636379497277021,-369.28225193222994,-373.7135119322299,-370.4417103322299,-357.4920607322299,1.1257546,1.1257546,16.5365618205
32,-4.6687,0.003865,0.0034376,0.0028731,0.0037260999999999996,0.0037260999999999996,3,-372.05,0.029422000000000004,0.08688,0.006944,0.005710600000000001,0.005710600000000001,-0.008067,0.0042052,0.0042052,0.0028731,0.0037260999999999996,0.0037260999999999996,0.046831,0.0062335,0.0062335,0.5818202210784742,-370.84649965849997,-375.3197776585,-372.0596278585,-358.96017365849997,1.1103778,1.1103778,17.099276235500003
