,SOC,U[V],dE/dx,dx/dE,dqdv
19,-0.06880088889286086,1.500407392205859,0.02007781004870366,49.80622874577727,49.80622874577727
20,-0.07269573943194502,1.5004588002713655,0.006320155670724356,158.22395081692497,158.22395081692497
24,-0.08778401228049015,1.5004509603234237,5.597236314010404e-05,17865.95998273124,17865.95998273124
28,-0.10220519845313696,1.5004461683334993,0.0006156959934579585,1624.1781831056903,1624.1781831056903
29,-0.10571816345135217,1.5004496563973129,0.0004477789042941904,2233.2450019641856,2233.2450019641856
30,-0.10919707099200593,1.5004496563973129,0.0004472528483534262,2235.8717304574534,2235.8717304574534
31,-0.11264237259300486,1.500453140363308,0.0006711291490977266,1490.0261765480027,1490.0261765480027
36,-0.12939682641522046,1.5004492201844455,0.000670616244488495,1491.1657870183847,1491.1657870183847
37,-0.1326604183299325,1.50045270415044,0.00044725284829641643,2235.871730742452,2235.871730742452
38,-0.1358962103417956,1.50045270415044,0.00022387630077280526,4466.752383115454,4466.752383115454
39,-0.1391050091977406,1.5004544480799016,0.0004477526015741154,2233.3761914155457,2233.3761914155457
47,-0.16388389319977026,1.5004448680954272,0.0005032252113225009,1987.1818372770915,1987.1818372770915
48,-0.1668782393635894,1.500447480045468,0.0005032252112654912,1987.181837502217,1987.181837502217
55,-0.18726315433804022,1.5004383279757747,0.0002798618151589272,3573.192003461146,3573.192003461146
57,-0.19291341125347036,1.5004348441122255,1.3151388542391368e-08,76037598.37044296,76037598.37044296
65,-0.21481958543607482,1.5004213322701028,0.0005592107257656327,1788.2346563200645,1788.2346563200645
66,-0.21748358173655874,1.50042438432594,5.5972363026084466e-05,17865.96001912544,17865.96001912544
67,-0.22013185333759527,1.5004217682780794,0.00016739103308047943,5974.035655298292,5974.035655298292
68,-0.2227639644591792,1.5004256882520508,0.00039128048524182706,2555.7114083569995,2555.7114083569995
69,-0.2253804594608799,1.5004248162360971,0.0006151567859861274,1625.6018348183375,1625.6018348183375
70,-0.2279822323244759,1.5004304801395298,0.0014542161755791547,687.655671002106,687.655671002106
71,-0.23056912757946413,1.500436144145408,0.00044725284829641643,2235.871730742452,2235.871730742452
77,-0.24579686894307606,1.500428304197466,5.5972363026084466e-05,17865.96001912544,17865.96001912544
78,-0.24828733959547342,1.5004287402054428,0.0008390593895645223,1191.8107495573192,1191.8107495573192
79,-0.2507651156729803,1.5004348402192975,5.5972363054589354e-05,17865.96001002689,17865.96001002689
83,-0.26054938917220455,1.500420896159681,0.0004472528483249213,2235.871730599953,2235.871730599953
84,-0.2629637055014164,1.500426124157583,0.00033583417829903127,2977.660001923886,2977.660001923886
86,-0.26775456791294205,1.500424384223495,0.0006711423004292592,1489.9969788231276,1489.9969788231276
87,-0.2701324359344502,1.500428740205443,0.0009504780596759271,1052.1021393602266,1052.1021393602266
88,-0.27249827687192274,1.5004317881634612,0.0005032252113795106,1987.1818370519663,1987.1818370519663
91,-0.2795286526831029,1.5004265601655595,0.00011194472610917871,8932.980005013445,8932.980005013445
99,-0.29780133684860044,1.5004104402663239,0.00117436751175176,851.5221938559399,851.5221938559399
100,-0.3000380140792616,1.5004174081983128,0.0008385333334812337,1192.5584351529897,1192.5584351529897
104,-0.3088794486547607,1.5004156641664057,5.597236299757957e-05,17865.960028223988,17865.960028223988
106,-0.31323901132454846,1.5004156641664053,0.000503225211293996,1987.1818373896542,1987.1818373896542
107,-0.31540371838482595,1.5004208921643067,0.0011189212048089642,893.7179809464171,893.7179809464171
108,-0.3175590701685744,1.5004243802281207,0.0008395722942022588,1191.0826582839727,1191.0826582839727
109,-0.31970528190186126,1.500427432181512,0.0011748804163894966,851.150454165439,851.150454165439
110,-0.32184273171224187,1.500433532195367,0.0010624227856710863,941.2448730270252,941.2448730270252
113,-0.3282007380887598,1.5004326601794133,0.0002798618151874321,3573.1920030972037,3573.1920030972037
114,-0.3303016039428804,1.5004326601794131,0.0006151699373746698,1625.5670819475515,1625.5670819475515
115,-0.33239369937663765,1.5004374521693378,0.0007271146635693633,1375.2989041522812,1375.2989041522812
120,-0.34272224363719234,1.500433968203344,0.0002798618152444419,3573.19200236932,3573.19200236932
121,-0.3447619643563896,1.5004348402192975,5.648526766382093e-05,17703.731280014887,17703.731280014887
126,-0.3548361431094772,1.5004283080903946,0.0008390462382329897,1191.8294301705885,1191.8294301705885
127,-0.35682762558953945,1.500433972096273,0.0011189212047804595,893.7179809691849,893.7179809691849
128,-0.35881116881854547,1.5004370241521099,0.00016791708913526317,5955.320004353247,5955.320004353247
130,-0.36275588302394185,1.500437020054291,0.000391280485270332,2555.711408170815,2555.711408170815
131,-0.3647167846683403,1.5004383280782212,0.00016791708913526317,5955.320004353247,5955.320004353247
136,-0.37440767557305427,1.5004322240689925,0.0003918065412966108,2552.280001989467,2552.280001989467
137,-0.3763232516622891,1.5004352761248296,5.5972363026084466e-05,17865.96001912544,17865.96001912544
138,-0.378231976404187,1.500432660076969,0.00011141867002589007,8975.156495474524,8975.156495474524
139,-0.38013369195646696,1.5004361440429637,0.000279861815215937,3573.192002733262,3573.192002733262
141,-0.3839169083844533,1.500430916045062,0.00011141867002589007,8975.156495474524,8975.156495474524
142,-0.38579789494505357,1.5004357080349868,0.00016791708916376807,5955.320003342296,5955.320003342296
144,-0.38953958422577695,1.500434404108876,0.00016791708907825338,5955.3200063751465,5955.3200063751465
146,-0.3932538931742469,1.5004322240689922,0.0006706293958485325,1491.136544551141,1491.136544551141
147,-0.3951010406524143,1.5004387560954502,0.0015656611484106344,638.7078078900663,638.7078078900663
148,-0.396942036064044,1.500444420101328,0.0013982569638846028,715.1761270130382,715.1761270130382
149,-0.39877657173223946,1.5004496480992293,0.0010069764786712807,993.0718553818791,993.0718553818791
150,-0.40060490763326695,1.5004522641470897,0.0008390725409530647,1191.7920694486618,1191.7920694486618
153,-0.40605064023641185,1.500453132167669,0.0010064504227020115,993.5909185822645,993.5909185822645
154,-0.40785340942515597,1.5004587961735476,0.0007271146635408583,1375.298904206197,1375.298904206197
155,-0.409650201856688,1.5004587961735476,0.0007830870265099329,1276.9972763522926,1276.9972763522926
156,-0.41144142274361223,1.5004648961874023,0.0008390593895645223,1191.8107495573192,1191.8107495573192
157,-0.41322660679112727,1.5004653321953791,0.0002798618152444419,3573.19200236932,3573.19200236932
159,-0.4167787105798837,1.500464460179426,0.00016739103308047943,5974.035655298292,5974.035655298292
160,-0.41854621951989707,1.5004683801533971,0.000671142300486269,1489.9969786965605,1489.9969786965605
161,-0.42030810307964556,1.5004696881773276,0.00027984866385589953,3573.3599232581037,3573.3599232581037
162,-0.4220643713277941,1.5004705600908357,0.0003358210268249742,2977.7766134971284,2977.7766134971284
167,-0.4307605101902236,1.5004561841210617,0.0003353081221872377,2982.3315745438313,2982.3315745438313
168,-0.43248260260751414,1.500463588061027,0.0012862990864153866,777.424170289015,777.424170289015
176,-0.4460663625303261,1.500447903964877,0.0009504780596474222,1052.1021393917792,1052.1021393917792
177,-0.447741152768252,1.5004531319627787,0.0007830870265669428,1276.9972762593254,1276.9972762593254
190,-0.4690505736668657,1.5004213198741994,0.000447765752905648,2233.310594905451,2233.310594905451
191,-0.47065513496188266,1.500424371827591,0.00039179338985105864,2552.3656751333983,2552.3656751333983
194,-0.47544270420210105,1.5004182758091096,0.0007271146635408583,1375.298904206197,1375.298904206197
195,-0.4770291702502163,1.5004239398149881,0.001733565086214365,576.845950551374,576.845950551374
196,-0.47861115367768625,1.5004317797629307,0.0015096756340245124,662.3939457340166,662.3939457340166
197,-0.48018877621605704,1.5004356997369022,0.0008390593895930273,1191.8107495168304,1191.8107495168304
198,-0.48176199182999213,1.5004383157847625,0.0004477789043512002,2233.2450016798557,2233.2450016798557
199,-0.48333049811854145,1.5004391878007162,0.0005037512673487797,1985.1066683424046,1985.1066683424046
200,-0.4848944207226205,1.500442239856553,5.260560262788558e-07,1900938.2081860465,1900938.2081860465
205,-0.4926510536934215,1.500432223864101,0.00016739103310898433,5974.035654280978,5974.035654280978
206,-0.49418954583587316,1.500434835814142,0.0005032252113510058,1987.181837164529,1987.181837164529
208,-0.49725453557559235,1.500434403903985,0.00022388945216134763,4466.490003644041,4466.490003644041
209,-0.4987808250611958,1.5004378878699793,0.0002798618151304223,3573.192003825088,3573.192003825088
213,-0.5048471318579872,1.5004344080018035,0.0006156959934009487,1624.1781832560796,1624.1781832560796
214,-0.5063544120387976,1.500440944023635,0.00162214641615997,616.4671635296969,616.4671635296969
215,-0.5078575872240154,1.5004470440374904,0.00039129363671588414,2555.625510276554,2555.625510276554
216,-0.5093569411120954,1.5004439920840988,0.00027934891060670545,3579.752639192845,3579.752639192845
217,-0.5108520147349702,1.5004492200820005,0.0008385464849552908,1192.5397314775191,1192.5397314775191
218,-0.5123432018159917,1.5004505241105568,0.00011144497285998464,8973.038211928708,8973.038211928708
225,-0.5226740579750848,1.5004361481407824,0.0005591975743200804,1788.2767127806023,1788.2767127806023
228,-0.5270414837396735,1.500433532092922,0.0010629356903658325,940.7906885277586,940.7906885277586
229,-0.5284893256610944,1.5004409401307073,0.0012868382939157225,777.0984161165256,777.0984161165256
232,-0.532810370802295,1.5004352802226482,0.0005591975743770903,1788.2767125982887,1788.2767125982887
233,-0.5342432539456727,1.500438328180666,0.001062422785728096,941.2448729765179,941.2448729765179
234,-0.5356725987823576,1.5004435561785676,0.0010064504227020115,993.5909185822645,993.5909185822645
235,-0.5370985869541033,1.5004461681286088,0.0007830738751784004,1277.0187228787058,1277.0187228787058
242,-0.5469787852976224,1.5004361480383368,0.0007271146635693633,1375.2989041522812,1375.2989041522812
243,-0.5483760035587282,1.5004422480521922,0.000671142300457764,1489.996978759844,1489.996978759844
244,-0.549769710387168,1.5004413760362383,0.0007830870265099329,1276.9972763522926,1276.9972763522926
245,-0.551159835010969,1.5004483480660469,0.0006151830888487269,1625.5323303366995,1625.5323303366995
248,-0.5553100853615224,1.5004431160727716,0.000503225211293996,1987.1818373896542,1987.1818373896542
251,-0.5594345165887151,1.5004387600908238,0.00016791708907825338,5955.3200063751465,5955.3200063751465
256,-0.5662483336345719,1.5004265642633776,5.129046377364644e-07,1949680.1674735686,1949680.1674735686
257,-0.5676014989691587,1.5004283081928391,0.0008950186012305693,1117.2952144515107,1117.2952144515107
258,-0.5689519070677307,1.5004335361907406,0.00039180654126810593,2552.2800021751514,2552.2800021751514
259,-0.5702994586832366,1.500431360248676,5.649841905236332e-05,17699.61030366513,17699.61030366513
260,-0.5716440668685806,1.5004339762965364,0.0005592107257656327,1788.2346563200645,1788.2346563200645
261,-0.5729854503275624,1.5004357163330695,0.001454229326967697,687.6494521570139,687.6494521570139
262,-0.574323628285084,1.5004453043082926,0.0010629356903658325,940.7906885277586,940.7906885277586
263,-0.5756585146174019,1.5004439962843628,0.00039128048532734177,2555.7114077984465,2555.7114077984465
264,-0.5769903999114527,1.500448352266311,0.0005032252113225009,1987.1818372770915,1987.1818372770915
265,-0.5783193680936232,1.500447916258334,0.001342284600915528,744.998489379922,744.998489379922
266,-0.5796450257810146,1.500458808262114,0.001510188538662249,662.1689771833504,662.1689771833504
274,-0.5901483805476702,1.5004527081458139,0.0007271146635123534,1375.2989042601125,1375.2989042601125
275,-0.5914471634515434,1.5004592441676454,0.00027933575918965816,3579.9211776571674,3579.9211776571674
277,-0.594035128845731,1.5004548840878784,5.5972363054589354e-05,17865.96001002689,17865.96001002689
278,-0.5953244152577146,1.5004553200958552,0.00022336339619207857,4477.009290904864,4477.009290904864
281,-0.5991759779267639,1.5004540078716608,0.0003907675806611004,2559.065924323099,2559.065924323099
286,-0.6055342653418279,1.500446595838502,0.00016740418446902183,5973.566330924363,5973.566330924363
295,-0.6168056648104231,1.5004256758561487,0.00039128048524182706,2555.7114083569995,2555.7114083569995
296,-0.6180436450149017,1.5004265478721024,0.0005032252113510058,1987.181837164529,1987.181837164529
297,-0.6192791017033087,1.5004295958301201,0.001342284600915528,744.998489379922,744.998489379922
298,-0.6205117301161106,1.5004370038679054,0.00011247078207844778,8891.198065133976,8891.198065133976
300,-0.6229692444082924,1.5004291639199625,0.00016791708913526317,5955.320004353247,5955.320004353247
301,-0.6241942569006871,1.5004317799678228,0.0005037512673772847,1985.1066682300764,1985.1066682300764
304,-0.6278545890236816,1.5004287320098046,0.0007831001778984754,1276.9758304532584,1276.9758304532584
305,-0.6290693651498361,1.5004361360522163,0.0019014953267096656,525.901897287538,525.901897287538
306,-0.6302820041398288,1.5004435440900012,0.0005597236303748642,1786.5960015486019,1786.5960015486019
308,-0.632699838100211,1.5004400601240064,0.0005591975743770903,1788.2767125982887,1788.2767125982887
309,-0.6339054228354268,1.5004448521139313,0.0008950317526761215,1117.2787971041544,1117.2787971041544
313,-0.6387040888161306,1.5004378841819423,0.0007830870264529232,1276.9972764452598,1276.9972764452598
314,-0.6398969360631548,1.5004418041559133,0.000839046238147475,1191.8294302920585,1191.8294302920585
315,-0.6410871010455251,1.5004444201013283,0.00027984866379888974,3573.359923986056,3573.359923986056
317,-0.6434600742417638,1.500443112077398,0.00011194472608067381,8932.980007288083,8932.980007288083
318,-0.644642932144731,1.500444856109305,0.0005037512673487797,1985.1066683424046,1985.1066683424046
321,-0.6481781133204794,1.500441812249106,5.597236299757957e-05,17865.960028223988,17865.960028223988
324,-0.651695439850679,1.5004400681147536,0.00039128048529883685,2555.711407984631,2555.711407984631
325,-0.6528633912852294,1.5004409401307073,5.597236308309425e-05,17865.960000928342,17865.960000928342
326,-0.6540286642379336,1.5004405041227307,0.0005032252113510058,1987.181837164529,1987.181837164529
